"TARGET","CCONJ","ADV","ADJ","modifier","comma","id","corpus"
"egoistic","and",NA,"entitled",NA,0,"text1","Lots of celebs are egoistic and entitled."
"egoistic","and",NA,"egocentric","very",0,"text100","I also try to shake the feeling that I am being very egoistic and egocentric when I get panic attacks, when there are so many people who are sick and dying."
"egoistic","and",NA,"snobbish",NA,0,"text101","I know it's sounds egoistic and snobbish but I take pride in having good English skills, thank you very much :) Long time ago in school I had to pick either English or German as a second language subject and therefore one subject out of my 5 finals."
"egoistic","and",NA,"fatalistic",NA,0,"text109","There is a difference between the man who has been fighting an endless battle with cancer; furthermore, he has not responded to all available treatments and the individual contemplating egoistic and fatalistic suicide."
"egoistic","and",NA,"homophobic",NA,0,"text115","He is a murderer, rash driver, women abuser, certified sexist, animal poacher, egoistic and homophobic."
"egoistic","and",NA,"naive","how",0,"text117","So fucked up how egoistic and naive some people are.."
"egoistic","and",NA,"stupid","how",0,"text118","How egoistic and stupid can people be?"
"egoistic","and",NA,"stubborn",NA,0,"text12","I've never interacted with people who were more ignorant, egoistic and stubborn in their views."
"egoistic","and",NA,"cold","most",0,"text120","Society there is the most egoistic and cold worldwide, everyone there wants to be the best, no matter what the costs and loses are (Of course there is exceptions)."
"egoistic","and",NA,"narcissistic",NA,0,"text123","I just wanna thank you so much because you perfectly understood my point of view and my emotions, and it’s not simple because some people I talked to stigmatized me as an egoistic and narcissistic person, that I’m not."
"egoistic","and",NA,"unfit","too",0,"text126","Clearly berlin was too egoistic and unfit to rule."
"egoistic","and",NA,"ready","very",0,"text127","You seem very egoistic and ready to pull any help."
"egoistic","and",NA,"shy",NA,0,"text128","Im egoistic and shy coward of a person with unstable emotions, and i hate every word of that defenition but when i try to change these things my emotional unstable self stops me: if something bad happens (and it definitely will happen some time - thats how the life works) i go back to being that thing"
"egoistic","and",NA,"blind","so",0,"text129","I really can't understand how people can be so egoistic and blind."
"egoistic","and",NA,"alturistic",NA,0,"text13","He also accepts the dual nature of humans as both egoistic and alturistic but since darwinists heavily emphasized on the egotistic and hobbsian form of human nature, he solely argues for the mutual aid part to kind of balance out the discourse and provide new angles to look for."
"egoistic","and",NA,"immature","how",0,"text131","Look kid, one day (not now) you'll have more insight and realise how egoistic and immature this mindset of yours is."
"egoistic","and",NA,"stupid","very",0,"text136","If he really broke the rules, reporting him to the mods is enough, but making a person feel unwelcome in a community because YOU don't like them is very egoistic and stupid."
"egoistic","and",NA,"sociopathic",NA,0,"text137","There are most likely a few other decent ones which I'm simply not aware of, but I'm not surprised earning large amounts of money is helped by egoistic and sociopathic tendencies, you're not revealing much if you say white people aren't all absolutely infallible."
"egoistic","and",NA,"competitive",NA,0,"text138","But I’ve also realized that despite how judgmental and egoistic and competitive and superficial society can be, group behavior can be a force for good; in fact, it’s essential for any human being to belong to some group."
"egoistic","and",NA,"bad",NA,0,"text14","I tored arguing a moral rights instead (as opposed to human rights, those are egoistic and bad mkay)."
"egoistic","and",NA,"consumeristic",NA,1,"text142","fine  thats fine i like compromises i'm not ideological i am for what works, i'm an ethical socialist  **Ethical socialism** is a political philosophy that appeals to **socialism** on **ethical** and moral grounds as opposed to economic, egoistic, and consumeristic grounds."
"egoistic","and","much","more",NA,0,"text143","You work 12hrs shifts...eating someone's food who works 12hrs shifts is not only rude it's inconsiderate, disrespectful, egoistic and much more."
"egoistic","and",NA,"cold",NA,0,"text144","😔 The way they’re treating each other is pretty bad, egoistic and cold too."
"egoistic","and",NA,"dumb","so",0,"text147","It is just so egoistic and dumb it makes me mad."
"egoistic","and","too","dumb","too",0,"text148","Then they are too egoistic and too dumb to see it.("
"egoistic","and",NA,"fat",NA,0,"text155","In my country, both left and right wings are well respected (the extremes are not) and we don’t call each other stupid shit face who is egoistic and fat only because they have a different political opinion."
"egoistic","and",NA,"disgusting","more",0,"text156","I mean buy all the water and show that you are an even more egoistic and disgusting human being, but toilet paper?"
"egoistic","and",NA,"idiotic",NA,0,"text157","I'd call you a bit egoistic and idiotic for demanding a spot in every single race, no?"
"egoistic","and",NA,"egocentric","more",0,"text158","I think movie harry is too good of a person, book harry is a little more egoistic and egocentric and also more shy"
"egoistic","and","less","likely",NA,1,"text16","Wealth is not a zero sum game and when you tell people it is it makes them antisocial, egoistic, and less likely to cooperate."
"egoistic","and",NA,"only",NA,0,"text161","True, and as said in my post, they are egoistic and only care about themselves without creating alliances"
"egoistic","and",NA,"unsustainable","just",0,"text163","A perfect mawn is just egoistic and unsustainable in the world we live in now."
"egoistic","and",NA,"sexist",NA,0,"text164","I mean I did meet men that were egoistic and sexist, but that’s just how they are at times, especially when talking to a pretty girl they gotta impress."
"egoistic","and",NA,"narcissistic","quite",0,"text165","she isn't just naive,she can also be quite egoistic and narcissistic,not to mention she can often end up being an hypocrite and most people are really wary of her,something she could work on"
"egoistic","and",NA,"strict",NA,0,"text166","Reminds of every egoistic and strict teachers ive known."
"egoistic","and",NA,"proud","extremely",0,"text167","But they do bow down to the educated people , unlike in the US , where people are extremely egoistic and proud , and give no fucking respect to the very framework of America - the scientists , the farmers , the soldier."
"egoistic","and",NA,"misogynistic",NA,0,"text168","I also know others will say that having flaws makes the character human, but no one is this egoistic and misogynistic."
"egoistic","and",NA,"narcissist",NA,0,"text169","I really understand, because I was the same, I have much fear to seem egoistic and narcissist, it's more strange that my mother always say that I am the opposite of echoist, that I am selective and egoist with my friends, but my friends say the opposite of her..."
"egoistic","and","not","funny",NA,0,"text174","Egoistic and not funny anymore"
"egoistic","and",NA,"angry",NA,0,"text177","They are egoistic and angry, and will brush it on you."
"egoistic","and",NA,"straight",NA,0,"text178","I'm Brazilian   He is childish, egoistic and straight up dumb as fuck."
"egoistic","and",NA,"altruistic",NA,0,"text183","I think it's human nature to be both egoistic and altruistic, but I would say many of us lean towards altruism.   &amp;#x200B;  **Idealism vs Pragmatism:** I'm an anarchist, idealism pretty much comes with the territory."
"egoistic","and",NA,"manipulative",NA,0,"text185","You really need to learn how to discern egoistic and manipulative people to avoid them."
