"TARGET","CCONJ","ADV","ADJ","modifier","comma","id","corpus"
"empty","but",NA,"ritual",NA,0,"text101","Without belief the rituals might seem empty but ritual still serves a purpose in uniting communities and demarcating the passage of time, which is really all we’re doing here on earth when you get right down to it."
"empty","but",NA,"other",NA,0,"text1011","I know you need to unplug it if the bottle is empty but other than that is there anything else that can make these unsafe?"
"empty","but",NA,"long","currently",1,"text1019","Currently empty, but long story short it had a necropsied cat in it."
"empty","but",NA,"inspirational",NA,0,"text1027","That's why people like Obama and Abrams give empty but inspirational speeches."
"empty","but",NA,"inspiring",NA,0,"text1028","That's why people like Obama and Abrams do their empty but inspiring and soaring speeches."
"empty","but",NA,"inspiring",NA,0,"text1030","That's why people like Obama and Abrams do their empty but inspiring and soaring speeches."
"empty","but",NA,"worth","totally",0,"text1033","Totally empty but worth probably 500,000gp per player.”"
"empty",NA,NA,NA,NA,1,"text1045","Gavin's role in the game does feel a little empty, but David Cage loves having foils for the main characters."
"empty","but",NA,"most",NA,1,"text1090","It was probably safe as the lane next to you was empty, but most ranges here the direction your muzzle is facing would get a warning."
"empty","but","definitely","easy","not",0,"text1091","Not empty but definitely easier to go in and out"
"empty",NA,NA,NA,NA,0,"text1092","Amazing, nice blend of a harder style with a more poppy chorus just like dalla dalla and i feel the raps here are better than dalla  Only criticism would be the dance break musically felt a little empty but live would definitely make up for that"
"empty","but","not","full","not",0,"text1098","Always double bag, but don’t tie both bags together in case the top bag is in the medium stage of not empty but not full either."
"empty","but",NA,"full",NA,1,"text1111","Only time i saw a Clash Royal esport event was at PGW 2018 or 2019, all the rows were empty, but full when a CS:GO match was playing."
"empty","but",NA,"beautiful",NA,0,"text1119","In it a man who acted more like a king showed me around an empty but beautiful world that was starting to recover from an unknown disaster."
"empty","but","not","sure",NA,0,"text1138","Spreadsheet is empty but not sure if this is a joke on OP for asking for an empty spreadsheet."
"empty","but","not","empty",NA,0,"text1140","It'll likely reduce your file size and eliminate empty but not empty cells."
"empty","but",NA,"opaque",NA,0,"text1142","might put it into an empty but opaque lotion or skincare bottle as I have quite a few on hand. might even put it into a half full bottle if I can seal the hard drive beforehand."
"empty","but",NA,"beautiful","maybe",0,"text1160","I just love to explore this maybe empty but beautiful world."
"empty","but",NA,"full","of",0,"text12","But I was mostly listening to him when I was in a nonreciprocal toxic relationship (he did not love me in return but I kept holding on) and those song made me feel kind of empty but full of emotions."
"empty","but",NA,"full","not",1,"text1237","Well, I guess the garages are like mine and not empty, but full of very important shite."
"empty","but",NA,"few",NA,0,"text1240","*Some of the spots were empty but few had homeless people under them."
